,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,286,Dcover Jcover-fuzz,time(Seconds):,1881,Jcover test verification on,time(Seconds):,304
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
GraphJet Core,com.twitter.graphjet.algorithms.filters,ResultFilter,,,,0,6,1.0,0,6,1.0,6,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,TweetAuthorFilter,,,,19,20,0.5128205128205128,19,20,0.5128205128205128,39,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,RelatedTweetFilterChain.new RelatedTweetFilterChain() {...},n/a,n/a,Could not find file,1,1,0.5,1,1,0.5,1,1,0.5
GraphJet Core,com.twitter.graphjet.algorithms.filters,ResultFilterChain,,,,11,3,0.21428571428571427,11,3,0.21428571428571427,5,9,0.6428571428571429
GraphJet Core,com.twitter.graphjet.algorithms.filters,RelatedTweetFilter,,,,0,6,1.0,0,6,1.0,6,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,RecentEdgeMetadataFilter,,,,4,11,0.7333333333333333,4,11,0.7333333333333333,15,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,TweetCardFilter,,,,1,10,0.9090909090909091,1,10,0.9090909090909091,11,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,RecentTweetFilter,,,,2,6,0.75,2,6,0.75,8,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,AbstractPowerLawDegreeEdgePool,,,,48,26,0.35135135135135137,48,26,0.35135135135135137,74,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,WithEdgeMetadataPowerLawDegreeEdgePool,,,,24,17,0.4146341463414634,24,17,0.4146341463414634,41,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,RegularDegreeEdgePool.ReaderAccessibleInfo,n/a,n/a,Could not find file,0,7,1.0,0,7,1.0,7,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,OptimizedEdgePool.ReaderAccessibleInfo,n/a,n/a,Could not find file,0,7,1.0,0,7,1.0,7,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,RegularDegreeEdgeIterator,,,,2,13,0.8666666666666667,2,13,0.8666666666666667,15,0,0.0
